n:39 mse_avg:334.43 mse_y:501.25 mse_u:0.76 mse_v:0.83 psnr_avg:22.89 psnr_y:21.13 psnr_u:49.34 psnr_v:48.96 
n:40 mse_avg:193.58 mse_y:290.03 mse_u:0.64 mse_v:0.72 psnr_avg:25.26 psnr_y:23.51 psnr_u:50.09 psnr_v:49.55 
n:41 mse_avg:168.52 mse_y:252.46 mse_u:0.60 mse_v:0.66 psnr_avg:25.86 psnr_y:24.11 psnr_u:50.37 psnr_v:49.91 
n:42 mse_avg:199.42 mse_y:298.79 mse_u:0.64 mse_v:0.73 psnr_avg:25.13 psnr_y:23.38 psnr_u:50.05 psnr_v:49.52 
n:43 mse_avg:140.24 mse_y:210.03 mse_u:0.61 mse_v:0.69 psnr_avg:26.66 psnr_y:24.91 psnr_u:50.27 psnr_v:49.74 
n:44 mse_avg:226.34 mse_y:339.16 mse_u:0.65 mse_v:0.73 psnr_avg:24.58 psnr_y:22.83 psnr_u:50.02 psnr_v:49.48 
n:45 mse_avg:311.85 mse_y:467.39 mse_u:0.72 mse_v:0.83 psnr_avg:23.19 psnr_y:21.43 psnr_u:49.54 psnr_v:48.97 
n:46 mse_avg:347.94 mse_y:521.48 mse_u:0.82 mse_v:0.91 psnr_avg:22.72 psnr_y:20.96 psnr_u:48.99 psnr_v:48.53 
n:47 mse_avg:342.25 mse_y:512.97 mse_u:0.76 mse_v:0.88 psnr_avg:22.79 psnr_y:21.03 psnr_u:49.33 psnr_v:48.68 
n:48 mse_avg:308.95 mse_y:462.96 mse_u:0.87 mse_v:1.00 psnr_avg:23.23 psnr_y:21.48 psnr_u:48.75 psnr_v:48.13 
n:49 mse_avg:426.36 mse_y:638.90 mse_u:1.19 mse_v:1.39 psnr_avg:21.83 psnr_y:20.08 psnr_u:47.38 psnr_v:46.70 
n:50 mse_avg:514.41 mse_y:770.88 mse_u:1.37 mse_v:1.58 psnr_avg:21.02 psnr_y:19.26 psnr_u:46.77 psnr_v:46.16 
n:51 mse_avg:342.13 mse_y:512.81 mse_u:0.72 mse_v:0.83 psnr_avg:22.79 psnr_y:21.03 psnr_u:49.54 psnr_v:48.95 
n:52 mse_avg:285.36 mse_y:427.65 mse_u:0.71 mse_v:0.81 psnr_avg:23.58 psnr_y:21.82 psnr_u:49.63 psnr_v:49.04 
n:53 mse_avg:429.09 mse_y:643.12 mse_u:0.99 mse_v:1.07 psnr_avg:21.81 psnr_y:20.05 psnr_u:48.19 psnr_v:47.84 
n:54 mse_avg:393.13 mse_y:589.23 mse_u:0.89 mse_v:1.00 psnr_avg:22.19 psnr_y:20.43 psnr_u:48.62 psnr_v:48.11 
n:55 mse_avg:591.18 mse_y:885.68 mse_u:2.10 mse_v:2.25 psnr_avg:20.41 psnr_y:18.66 psnr_u:44.91 psnr_v:44.60 
n:56 mse_avg:952.96 mse_y:1427.25 mse_u:4.56 mse_v:4.22 psnr_avg:18.34 psnr_y:16.59 psnr_u:41.55 psnr_v:41.88 
n:57 mse_avg:717.21 mse_y:1073.91 mse_u:3.81 mse_v:3.83 psnr_avg:19.57 psnr_y:17.82 psnr_u:42.32 psnr_v:42.30 
n:58 mse_avg:664.53 mse_y:994.77 mse_u:3.95 mse_v:4.13 psnr_avg:19.91 psnr_y:18.15 psnr_u:42.17 psnr_v:41.98 
n:59 mse_avg:472.67 mse_y:707.83 mse_u:2.25 mse_v:2.45 psnr_avg:21.39 psnr_y:19.63 psnr_u:44.61 psnr_v:44.23 
